"PASSENGERS","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","YEAR",
4992.00,"OO","SkyWest Airlines Inc.",13487,"MSP","Minneapolis, MN","MN",11775,"FSD","Sioux Falls, SD","SD",2019,
4998.00,"G4","Allegiant Air",10466,"AZA","Phoenix, AZ","AZ",11775,"FSD","Sioux Falls, SD","SD",2019,
5036.00,"OO","SkyWest Airlines Inc.",13487,"MSP","Minneapolis, MN","MN",14457,"RAP","Rapid City, SD","SD",2019,
5040.00,"G4","Allegiant Air",11775,"FSD","Sioux Falls, SD","SD",10466,"AZA","Phoenix, AZ","AZ",2019,
5043.00,"OO","SkyWest Airlines Inc.",14457,"RAP","Rapid City, SD","SD",13487,"MSP","Minneapolis, MN","MN",2019,
5052.00,"OO","SkyWest Airlines Inc.",11292,"DEN","Denver, CO","CO",14457,"RAP","Rapid City, SD","SD",2019,
5080.00,"YV","Mesa Airlines Inc.",14457,"RAP","Rapid City, SD","SD",11298,"DFW","Dallas/Fort Worth, TX","TX",2019,
5258.00,"DL","Delta Air Lines Inc.",11775,"FSD","Sioux Falls, SD","SD",13487,"MSP","Minneapolis, MN","MN",2019,
5270.00,"YV","Mesa Airlines Inc.",11298,"DFW","Dallas/Fort Worth, TX","TX",11775,"FSD","Sioux Falls, SD","SD",2019,
5279.00,"YV","Mesa Airlines Inc.",11775,"FSD","Sioux Falls, SD","SD",11298,"DFW","Dallas/Fort Worth, TX","TX",2019,
5289.00,"YV","Mesa Airlines Inc.",14457,"RAP","Rapid City, SD","SD",11298,"DFW","Dallas/Fort Worth, TX","TX",2019,
5291.00,"YV","Mesa Airlines Inc.",11775,"FSD","Sioux Falls, SD","SD",11298,"DFW","Dallas/Fort Worth, TX","TX",2019,
5360.00,"YV","Mesa Airlines Inc.",11298,"DFW","Dallas/Fort Worth, TX","TX",14457,"RAP","Rapid City, SD","SD",2019,
5364.00,"YV","Mesa Airlines Inc.",11298,"DFW","Dallas/Fort Worth, TX","TX",11775,"FSD","Sioux Falls, SD","SD",2019,
5378.00,"OO","SkyWest Airlines Inc.",14457,"RAP","Rapid City, SD","SD",13487,"MSP","Minneapolis, MN","MN",2019,
5405.00,"OO","SkyWest Airlines Inc.",13487,"MSP","Minneapolis, MN","MN",14457,"RAP","Rapid City, SD","SD",2019,
5432.00,"OO","SkyWest Airlines Inc.",13487,"MSP","Minneapolis, MN","MN",11775,"FSD","Sioux Falls, SD","SD",2019,
5447.00,"YV","Mesa Airlines Inc.",11298,"DFW","Dallas/Fort Worth, TX","TX",14457,"RAP","Rapid City, SD","SD",2019,
5563.00,"OO","SkyWest Airlines Inc.",14457,"RAP","Rapid City, SD","SD",13487,"MSP","Minneapolis, MN","MN",2019,
5574.00,"OO","SkyWest Airlines Inc.",13487,"MSP","Minneapolis, MN","MN",14457,"RAP","Rapid City, SD","SD",2019,
5575.00,"YV","Mesa Airlines Inc.",11298,"DFW","Dallas/Fort Worth, TX","TX",14457,"RAP","Rapid City, SD","SD",2019,
5603.00,"YV","Mesa Airlines Inc.",14457,"RAP","Rapid City, SD","SD",11298,"DFW","Dallas/Fort Worth, TX","TX",2019,
5608.00,"YV","Mesa Airlines Inc.",11298,"DFW","Dallas/Fort Worth, TX","TX",14457,"RAP","Rapid City, SD","SD",2019,
5608.00,"OO","SkyWest Airlines Inc.",13487,"MSP","Minneapolis, MN","MN",11775,"FSD","Sioux Falls, SD","SD",2019,
5638.00,"G4","Allegiant Air",11775,"FSD","Sioux Falls, SD","SD",10466,"AZA","Phoenix, AZ","AZ",2019,
5649.00,"YV","Mesa Airlines Inc.",11775,"FSD","Sioux Falls, SD","SD",11298,"DFW","Dallas/Fort Worth, TX","TX",2019,
5660.00,"OO","SkyWest Airlines Inc.",13930,"ORD","Chicago, IL","IL",11775,"FSD","Sioux Falls, SD","SD",2019,
5717.00,"OO","SkyWest Airlines Inc.",11775,"FSD","Sioux Falls, SD","SD",13487,"MSP","Minneapolis, MN","MN",2019,
5736.00,"YV","Mesa Airlines Inc.",14457,"RAP","Rapid City, SD","SD",11298,"DFW","Dallas/Fort Worth, TX","TX",2019,
5883.00,"G4","Allegiant Air",10466,"AZA","Phoenix, AZ","AZ",11775,"FSD","Sioux Falls, SD","SD",2019,
5905.00,"OO","SkyWest Airlines Inc.",11775,"FSD","Sioux Falls, SD","SD",13487,"MSP","Minneapolis, MN","MN",2019,
6034.00,"DL","Delta Air Lines Inc.",13487,"MSP","Minneapolis, MN","MN",11775,"FSD","Sioux Falls, SD","SD",2019,
6079.00,"OO","SkyWest Airlines Inc.",13487,"MSP","Minneapolis, MN","MN",11775,"FSD","Sioux Falls, SD","SD",2019,
6122.00,"OO","SkyWest Airlines Inc.",14457,"RAP","Rapid City, SD","SD",13487,"MSP","Minneapolis, MN","MN",2019,
6132.00,"OO","SkyWest Airlines Inc.",13487,"MSP","Minneapolis, MN","MN",14457,"RAP","Rapid City, SD","SD",2019,
6288.00,"OO","SkyWest Airlines Inc.",14457,"RAP","Rapid City, SD","SD",13487,"MSP","Minneapolis, MN","MN",2019,
6311.00,"DL","Delta Air Lines Inc.",13487,"MSP","Minneapolis, MN","MN",11775,"FSD","Sioux Falls, SD","SD",2019,
6363.00,"OO","SkyWest Airlines Inc.",14457,"RAP","Rapid City, SD","SD",13487,"MSP","Minneapolis, MN","MN",2019,
6375.00,"OO","SkyWest Airlines Inc.",13487,"MSP","Minneapolis, MN","MN",14457,"RAP","Rapid City, SD","SD",2019,
6424.00,"OO","SkyWest Airlines Inc.",13487,"MSP","Minneapolis, MN","MN",14457,"RAP","Rapid City, SD","SD",2019,
6539.00,"OO","SkyWest Airlines Inc.",11775,"FSD","Sioux Falls, SD","SD",13487,"MSP","Minneapolis, MN","MN",2019,
6564.00,"DL","Delta Air Lines Inc.",11775,"FSD","Sioux Falls, SD","SD",13487,"MSP","Minneapolis, MN","MN",2019,
6833.00,"DL","Delta Air Lines Inc.",13487,"MSP","Minneapolis, MN","MN",11775,"FSD","Sioux Falls, SD","SD",2019,
6833.00,"OO","SkyWest Airlines Inc.",11775,"FSD","Sioux Falls, SD","SD",13487,"MSP","Minneapolis, MN","MN",2019,
6871.00,"OO","SkyWest Airlines Inc.",13487,"MSP","Minneapolis, MN","MN",11775,"FSD","Sioux Falls, SD","SD",2019,
6915.00,"OO","SkyWest Airlines Inc.",11775,"FSD","Sioux Falls, SD","SD",13930,"ORD","Chicago, IL","IL",2019,
